layer,original_mean,np_shuffled_mean,np_shuffled_delta_mean,np_shuffled_cohens_d_paired,full_shuffled_mean,full_shuffled_delta_mean,full_shuffled_cohens_d_paired,np_vs_full_delta_mean,np_vs_full_cohens_d_paired
1,2.2800582196712496,2.2801153037548065,5.7084083557128906e-05,0.00681129750654806,2.2916495597362516,0.011591340065002441,0.6913198212606367,0.011534255981445312,0.6887688344087424
2,1.7823812615275383,1.7854099684357643,0.003028706908226013,0.25670099929176954,1.8020232204794884,0.019641958951950072,0.7978398250303079,0.01661325204372406,0.6707177817456788
3,1.514494914829731,1.5162739293575287,0.001779014527797699,0.10406355244705211,1.5339301648736,0.019435250043869017,0.5784820426692904,0.01765623551607132,0.5149923538765401
4,1.7208057233095169,1.7182765856981277,-0.00252913761138916,-0.14841816567110636,1.7187519135475158,-0.0020538097620010375,-0.06167071970921836,0.00047532784938812255,0.014237339883231654
5,1.5543994099497795,1.592218407332897,0.037818997383117677,0.9848457797886014,1.634900738298893,0.08050132834911347,1.3587390637410093,0.04268233096599579,0.722438448354869
6,1.2743862429559232,1.3318412837684155,0.05745504081249237,1.0657918315686388,1.388509054929018,0.11412281197309494,1.5759074192338662,0.05666777116060257,0.7666959757309112
7,1.282789500206709,1.3233939167559148,0.04060441654920578,0.8257084960683847,1.3735446628332137,0.0907551626265049,1.237465614004126,0.05015074607729912,0.6717573678894306
8,1.2761670272350312,1.2728819278776646,-0.0032850993573665618,-0.07716445457580315,1.247830252289772,-0.028336774945259095,-0.3374010348487489,-0.025051675587892532,-0.2970546332393141
9,1.4424333463013173,1.463944067567587,0.021510721266269683,0.3350564118395326,1.4648003974556922,0.022367051154375078,0.1883396249498067,0.0008563298881053925,0.007006328129210049
10,1.5943818350434302,1.6174451464414596,0.023063311398029328,0.3498460438629121,1.5795854949355126,-0.014796340107917786,-0.12844351130251022,-0.03785965150594711,-0.34058174817052767
11,1.3334527207612992,1.3470821852385997,0.013629464477300644,0.11095553144954287,1.2857655451893806,-0.04768717557191849,-0.1804429905876395,-0.061316640049219134,-0.24468082562917187
12,1.4006937182247639,1.4965420375168323,0.09584831929206848,0.6947624347009503,1.5804916687607766,0.17979795053601266,0.7633362866998142,0.08394963124394417,0.37733454747473766
